name,species,lon,lat,year,base,presvals
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.866667,-46.65,2004,gbif,-0.47514909505844116
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.016667,-46.65,2004,gbif,-0.47514909505844116
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.15,-46.65,2004,gbif,-0.5502610206604004
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.966667,-46.65,2004,gbif,-0.47514909505844116
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.216667,-46.65,2004,gbif,-0.47514909505844116
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.416667,-46.65,2004,gbif,-0.47514909505844116
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.4,-46.65,2004,gbif,-0.47514909505844116
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.25,-46.65,2004,gbif,-0.47514909505844116
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.233333,-46.65,2004,gbif,-0.47514909505844116
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.05,-46.65,2004,gbif,-0.47514909505844116
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.95,-46.65,2004,gbif,-0.47514909505844116
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.883333,-46.65,2004,gbif,-0.47514909505844116
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.566667,-46.65,2004,gbif,-0.47514909505844116
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.8,-46.65,2004,gbif,-0.5502610206604004
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.983333,-46.65,2004,gbif,-0.47514909505844116
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-64.866667,-46.65,2004,gbif,-0.5502610206604004
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-64.833333,-46.65,2004,gbif,-0.40003716945648193
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.15,-46.633333,2004,gbif,-0.5502610206604004
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.966667,-46.633333,2004,gbif,-0.47514909505844116
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.866667,-46.633333,2004,gbif,-0.47514909505844116
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.05,-46.633333,2004,gbif,-0.47514909505844116
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.016667,-46.633333,2004,gbif,-0.47514909505844116
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.916667,-46.633333,2004,gbif,-0.47514909505844116
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.383333,-46.633333,2004,gbif,-0.47514909505844116
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.883333,-46.633333,2004,gbif,-0.47514909505844116
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.4,-46.633333,2004,gbif,-0.47514909505844116
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.25,-46.633333,2004,gbif,-0.47514909505844116
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.116667,-46.633333,2004,gbif,-0.5502610206604004
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.983333,-46.633333,2004,gbif,-0.47514909505844116
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.95,-46.633333,2004,gbif,-0.47514909505844116
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.85,-46.633333,2004,gbif,-0.5502610206604004
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.916667,-46.633333,2004,gbif,-0.47514909505844116
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65,-46.633333,2004,gbif,-0.5502610206604004
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.8,-46.533333,2004,gbif,-0.5502610206604004
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.25,-46.533333,2004,gbif,-0.40003716945648193
