name,species,longitude,latitude,year,base
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.733333,-45.1,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.833333,-45.1,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.733333,-45.1,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.783333,-45.066667,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.766667,-45.05,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.8,-45.1,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.8,-45.083333,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.75,-45.066667,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.816667,-45.116667,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.75,-45.1,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.816667,-45.116667,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.766667,-45.066667,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.716667,-45.1,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.766667,-45.066667,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.766667,-45.066667,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.75,-45.05,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.8,-45.083333,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.766667,-45.066667,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.833333,-45.083333,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.733333,-45.1,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.816667,-45.1,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.833333,-45.116667,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.766667,-45.083333,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.733333,-45.066667,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.816667,-45.1,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.716667,-45.1,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.816667,-45.1,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.816667,-45.1,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.816667,-45.116667,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.833333,-45.116667,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.883333,-45.083333,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.15,-45.15,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.116667,-45.15,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.716667,-45.066667,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.8,-45.1,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.816667,-45.116667,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.816667,-45.083333,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.016667,-45.15,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.116667,-45.15,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.166667,-45.133333,2005,gbif
